utc_date,timestamp,open,high,low,close,adj_close,volume,target
2022-09-01,1662015600,8.4,15.55,7.52,8.3,8.3,10754100,-1
2022-09-02,1662102000,10.07,12.82,6.96,7.05,7.05,16406600,-1
2022-09-06,1662447600,6.34,6.59,5.08,5.39,5.39,2095800,1
2022-09-07,1662534000,7.0,7.78,5.6,5.75,5.75,12971800,-1
2022-09-08,1662620400,5.51,6.4,5.33,5.63,5.63,2380400,-1
2022-09-09,1662706800,5.5,5.59,4.65,4.78,4.78,1177700,-1
2022-09-12,1662966000,4.42,4.69,4.36,4.59,4.59,1082600,-1
2022-09-13,1663052400,4.46,4.56,4.06,4.14,4.14,683400,1
2022-09-14,1663138800,5.7,6.8,4.71,4.86,4.86,48561400,-1
2022-09-15,1663225200,4.63,5.38,4.37,4.74,4.74,5126100,-1
2022-09-16,1663311600,4.45,4.63,4.05,4.3,4.3,620500,-1
2022-09-19,1663570800,4.18,4.286,3.78,3.81,3.81,342000,-1
2022-09-20,1663657200,3.64,3.9,3.55,3.67,3.67,437600,-1
2022-09-21,1663743600,3.67,3.67,3.3,3.32,3.32,460300,-1
2022-09-22,1663830000,3.24,3.32,2.68,2.72,2.72,364300,-1
2022-09-23,1663916400,2.55,2.599,2.09,2.11,2.11,539200,0
2022-09-26,1664175600,2.15,2.49,2.021,2.12,2.12,602500,0
2022-09-27,1664262000,2.12,2.39,2.1,2.12,2.12,458900,1
2022-09-28,1664348400,3.6,4.23,2.79,2.92,2.92,50954700,1
2022-09-29,1664434800,2.88,3.11,2.75,3.0,3.0,1406900,-1
2022-09-30,1664521200,2.8,3.07,2.8,2.91,2.91,393000,-1
2022-10-03,1664780400,2.9,2.962,2.51,2.51,2.51,311700,1
2022-10-04,1664866800,2.52,2.988,2.52,2.94,2.94,259600,-1
2022-10-05,1664953200,2.93,2.96,2.63,2.76,2.76,133800,1
2022-10-06,1665039600,2.73,3.05,2.65,2.9,2.9,222600,1
2022-10-07,1665126000,2.87,3.15,2.796,2.95,2.95,185200,-1
2022-10-10,1665385200,2.84,2.95,2.67,2.78,2.78,191400,1
2022-10-11,1665471600,2.77,2.85,2.67,2.8,2.8,90200,0
2022-10-12,1665558000,2.8,2.875,2.61,2.79,2.79,158300,-1
2022-10-13,1665644400,2.62,2.787,2.51,2.66,2.66,92300,-1
2022-10-14,1665730800,2.63,2.689,2.55,2.62,2.62,72900,1
2022-10-17,1665990000,2.62,3.0,2.563,2.89,2.89,163300,1
2022-10-18,1666076400,3.2,3.25,3.0,3.14,3.14,493300,-1
2022-10-19,1666162800,3.13,3.17,2.74,2.9,2.9,218000,-1
2022-10-20,1666249200,2.74,2.95,2.7,2.8,2.8,146300,-1
2022-10-21,1666335600,2.75,2.88,2.55,2.61,2.61,192900,1
2022-10-24,1666594800,2.66,2.73,2.55,2.65,2.65,91600,1
2022-10-25,1666681200,2.73,2.98,2.56,2.71,2.71,170900,1
2022-10-26,1666767600,2.65,2.93,2.61,2.86,2.86,131500,-1
2022-10-27,1666854000,2.76,2.89,2.62,2.75,2.75,139700,1
2022-10-28,1666940400,2.76,2.9,2.67,2.8,2.8,103300,1
2022-10-31,1667199600,2.84,2.88,2.77,2.85,2.85,58800,-1
2022-11-01,1667286000,2.79,2.86,2.78,2.8,2.8,52300,1
2022-11-02,1667372400,2.78,2.89,2.78,2.89,2.89,68100,0
2022-11-03,1667458800,2.89,2.95,2.62,2.89,2.89,89200,-1
2022-11-04,1667545200,2.87,2.98,2.62,2.63,2.63,44400,1
2022-11-07,1667808000,2.63,2.715,2.55,2.65,2.65,45000,-1
2022-11-08,1667894400,2.645,2.783,2.568,2.62,2.62,20400,-1
2022-11-09,1667980800,2.6,2.86,2.35,2.385,2.385,173400,1
2022-11-10,1668067200,2.41,2.76,2.41,2.56,2.56,81500,1
2022-11-11,1668153600,2.56,3.0,2.46,2.83,2.83,113600,-1
2022-11-14,1668412800,2.75,2.8,2.64,2.75,2.75,46900,1
2022-11-15,1668499200,2.638,2.81,2.55,2.81,2.81,42000,-1
2022-11-16,1668585600,2.658,2.777,2.54,2.6,2.6,28700,1
2022-11-17,1668672000,2.54,2.7,2.52,2.649,2.649,23800,-1
2022-11-18,1668758400,2.69,2.69,2.53,2.56,2.56,19600,1
2022-11-21,1669017600,2.519,2.65,2.3,2.6,2.6,79900,1
2022-11-22,1669104000,2.57,2.65,2.535,2.65,2.65,52900,0
2022-11-23,1669190400,2.492,2.65,2.492,2.64,2.64,36300,-1
2022-11-25,1669363200,2.57,2.62,2.565,2.6,2.6,24600,1
2022-11-28,1669622400,2.54,2.8,2.515,2.64,2.64,71800,-1
2022-11-29,1669708800,2.59,2.71,2.574,2.6,2.6,16800,1
2022-11-30,1669795200,2.8,2.84,2.65,2.7,2.7,75600,1
2022-12-01,1669881600,2.734,2.79,2.675,2.77,2.77,39700,1
2022-12-02,1669968000,2.672,2.95,2.66,2.94,2.94,33200,1
2022-12-05,1670227200,2.96,3.194,2.88,3.05,3.05,40300,-1
2022-12-06,1670313600,2.97,3.17,2.86,3.02,3.02,26600,-1
2022-12-07,1670400000,2.8,3.0,2.52,2.65,2.65,36900,-1
2022-12-08,1670486400,2.76,2.76,2.55,2.55,2.55,49000,-1
2022-12-09,1670572800,2.5,2.6,1.92,2.02,2.02,205900,-1
2022-12-12,1670832000,2.02,2.05,1.955,2.0,2.0,36100,0
2022-12-13,1670918400,2.0,2.05,1.96,2.0,2.0,29600,0
2022-12-14,1671004800,2.015,2.02,1.98,2.01,2.01,50400,0
2022-12-15,1671091200,1.97,2.06,1.96,2.01,2.01,48000,-1
2022-12-16,1671177600,1.96,2.02,1.95,1.97,1.97,190400,-1
2022-12-19,1671436800,1.97,2.08,1.74,1.88,1.88,141700,-1
2022-12-20,1671523200,1.88,1.88,1.71,1.73,1.73,60500,-1
2022-12-21,1671609600,1.78,1.89,1.66,1.69,1.69,20500,1
2022-12-22,1671696000,1.615,1.92,1.55,1.81,1.81,28000,1
2022-12-23,1671782400,1.62,2.17,1.62,1.85,1.85,42700,-1
2022-12-27,1672128000,1.85,2.072,1.705,1.78,1.78,57500,-1
2022-12-28,1672214400,1.72,1.9,1.637,1.72,1.72,17100,-1
2022-12-29,1672300800,1.71,1.72,1.6,1.68,1.68,45900,-1
2022-12-30,1672387200,1.63,1.78,1.31,1.6,1.6,121700,-1
2023-01-03,1672732800,1.8,1.8,1.45,1.56,1.56,28300,1
2023-01-04,1672819200,1.78,1.78,1.49,1.65,1.65,70700,-1
2023-01-05,1672905600,1.7,1.703,1.51,1.63,1.63,55400,-1
2023-01-06,1672992000,1.94,1.94,1.52,1.6,1.6,23300,1
2023-01-09,1673251200,1.7,1.79,1.61,1.64,1.64,31600,1
2023-01-10,1673337600,1.7,1.93,1.61,1.8,1.8,48900,1
2023-01-11,1673424000,1.87,1.971,1.75,1.86,1.86,53600,1
2023-01-12,1673510400,1.89,2.07,1.85,1.9,1.9,50200,-1
2023-01-13,1673596800,1.85,1.91,1.63,1.66,1.66,88500,-1
2023-01-17,1673942400,1.7,1.72,1.58,1.61,1.61,40700,-1
2023-01-18,1674028800,1.61,1.61,1.5,1.53,1.53,51800,1
2023-01-19,1674115200,1.56,1.65,1.51,1.6,1.6,50800,-1
2023-01-20,1674201600,1.53,1.57,1.5,1.52,1.52,73800,1
2023-01-23,1674460800,1.48,1.62,1.48,1.59,1.59,44600,1
2023-01-24,1674547200,1.91,3.99,1.7,2.79,2.79,68813400,-1
2023-01-25,1674633600,2.56,2.86,2.35,2.62,2.62,2403600,1
2023-01-26,1674720000,2.69,3.67,2.62,3.06,3.06,5489200,-1
2023-01-27,1674806400,2.87,3.24,2.7,2.873,2.873,838400,-1
2023-01-30,1675065600,2.79,3.06,2.63,2.77,2.77,247900,-1
2023-01-31,1675152000,2.76,2.796,2.58,2.61,2.61,202500,0
2023-02-01,1675238400,2.66,2.8,2.5,2.6,2.6,192600,-1
2023-02-02,1675324800,2.54,2.69,2.45,2.55,2.55,102600,-1
2023-02-03,1675411200,2.52,2.52,2.36,2.38,2.38,95800,1
2023-02-06,1675670400,2.49,2.49,2.36,2.4,2.4,84900,-1
2023-02-07,1675756800,2.4,2.468,2.25,2.33,2.33,70100,-1
2023-02-08,1675843200,2.26,2.343,2.24,2.26,2.26,71000,-1
2023-02-09,1675929600,2.16,2.3,2.001,2.07,2.07,139900,-1
2023-02-10,1676016000,2.01,2.075,2.01,2.05,2.05,26900,1
2023-02-13,1676275200,2.0,2.18,2.0,2.11,2.11,51500,-1
2023-02-14,1676361600,2.15,2.198,2.0,2.04,2.04,22200,-1
2023-02-15,1676448000,2.0,2.02,1.9,2.02,2.02,18400,1
2023-02-16,1676534400,1.95,2.22,1.95,2.22,2.22,39800,-1
2023-02-17,1676620800,2.29,2.3,2.04,2.06,2.06,29000,-1
2023-02-21,1676966400,2.06,2.08,1.9,1.9,1.9,20900,1
2023-02-22,1677052800,1.922,2.09,1.9,1.94,1.94,32800,1
2023-02-23,1677139200,1.88,2.21,1.875,2.03,2.03,55900,-1
2023-02-24,1677225600,1.97,2.08,1.7,1.8,1.8,111600,-1
2023-02-27,1677484800,1.8,1.9,1.65,1.65,1.65,40500,1
2023-02-28,1677571200,1.66,1.96,1.61,1.7,1.7,488500,-1
2023-03-01,1677657600,1.672,1.777,1.56,1.66,1.66,71000,1
2023-03-02,1677744000,1.57,1.75,1.57,1.74,1.74,31000,1
2023-03-03,1677830400,1.7,1.8,1.7,1.75,1.75,47200,1
2023-03-06,1678089600,1.67,1.8,1.65,1.8,1.8,24700,-1
2023-03-07,1678176000,1.8,1.8,1.7,1.74,1.74,22500,-1
2023-03-08,1678262400,1.7,1.76,1.65,1.73,1.73,37000,-1
2023-03-09,1678348800,1.76,1.76,1.58,1.62,1.62,29000,-1
2023-03-10,1678435200,1.62,1.67,1.5,1.53,1.53,58000,1
2023-03-13,1678690800,1.51,1.73,1.51,1.7,1.7,15700,-1
2023-03-14,1678777200,1.52,1.7,1.52,1.653,1.653,11300,0
2023-03-15,1678863600,1.65,1.78,1.625,1.65,1.65,20000,1
2023-03-16,1678950000,1.6,1.76,1.6,1.68,1.68,12600,0
2023-03-17,1679036400,1.65,1.75,1.541,1.68,1.68,13900,-1
2023-03-20,1679295600,1.65,1.68,1.53,1.58,1.58,25700,1
2023-03-21,1679382000,1.618,1.84,1.59,1.72,1.72,62700,0
2023-03-22,1679468400,1.71,1.72,1.67,1.72,1.72,6700,1
2023-03-23,1679554800,1.75,1.8,1.66,1.8,1.8,24200,1
2023-03-24,1679641200,1.9,1.91,1.75,1.83,1.83,29600,0
2023-03-27,1679900400,1.82,1.83,1.74,1.83,1.83,16200,-1
2023-03-28,1679986800,1.862,1.9,1.689,1.75,1.75,24200,1
2023-03-29,1680073200,1.72,1.811,1.681,1.76,1.76,17400,1
2023-03-30,1680159600,1.8,1.85,1.68,1.8,1.8,11200,1
2023-03-31,1680246000,1.775,1.89,1.72,1.89,1.89,12100,-1
2023-04-03,1680505200,1.81,1.9,1.58,1.64,1.64,61400,1
2023-04-04,1680591600,1.64,1.75,1.63,1.67,1.67,34600,1
2023-04-05,1680678000,1.67,1.8,1.65,1.8,1.8,37300,-1
2023-04-06,1680764400,1.88,1.88,1.66,1.76,1.76,26000,-1
2023-04-10,1681110000,1.84,1.84,1.66,1.66,1.66,9600,0
2023-04-11,1681196400,1.66,1.81,1.66,1.66,1.66,7200,-1
2023-04-12,1681282800,1.67,1.69,1.615,1.63,1.63,27500,-1
2023-04-13,1681369200,1.61,1.7,1.59,1.61,1.61,29200,-1
2023-04-14,1681455600,1.62,1.63,1.51,1.56,1.56,29100,1
2023-04-17,1681714800,1.57,1.79,1.57,1.79,1.79,34600,1
2023-04-18,1681801200,1.79,1.93,1.68,1.93,1.93,49200,-1
2023-04-19,1681887600,1.959,2.0,1.8,1.81,1.81,104500,1
2023-04-20,1681974000,1.815,1.91,1.7,1.82,1.82,74200,1
2023-04-21,1682060400,1.82,1.91,1.8,1.89,1.89,18900,1
2023-04-24,1682319600,1.8,2.2,1.8,2.05,2.05,48400,0
2023-04-25,1682406000,2.1,2.1,1.97,2.05,2.05,18600,0
2023-04-26,1682492400,1.99,2.07,1.96,2.04,2.04,21000,-1
2023-04-27,1682578800,1.94,1.96,1.89,1.96,1.96,10900,-1
2023-04-28,1682665200,1.86,1.95,1.78,1.95,1.95,11400,1
2023-05-01,1682924400,1.94,2.08,1.913,2.05,2.05,6000,-1
2023-05-02,1683010800,2.24,2.24,2.02,2.03,2.03,8200,-1
2023-05-03,1683097200,2.03,2.12,1.88,1.89,1.89,15700,1
2023-05-04,1683183600,1.89,1.98,1.884,1.97,1.97,6700,1
2023-05-05,1683270000,2.1,2.1,1.9,2.03,2.03,7400,-1
2023-05-08,1683529200,2.05,2.05,1.9,1.99,1.99,12500,-1
2023-05-09,1683615600,1.95,1.95,1.89,1.9,1.9,10500,1
2023-05-10,1683702000,1.85,2.08,1.79,1.96,1.96,13800,-1
2023-05-11,1683788400,1.87,2.0,1.771,1.86,1.86,10600,-1
2023-05-12,1683874800,1.81,1.85,1.73,1.85,1.85,13200,-1
2023-05-15,1684134000,1.751,1.85,1.751,1.82,1.82,17200,1
2023-05-16,1684220400,1.82,1.865,1.76,1.85,1.85,11800,-1
2023-05-17,1684306800,1.75,1.84,1.75,1.8,1.8,5400,-1
2023-05-18,1684393200,1.76,1.875,1.73,1.78,1.78,7300,1
2023-05-19,1684479600,1.71,1.84,1.7,1.83,1.83,7600,1
2023-05-22,1684738800,1.83,1.9,1.83,1.9,1.9,14000,1
2023-05-23,1684825200,1.9,2.08,1.9,1.96,1.96,22500,-1
2023-05-24,1684911600,2.02,2.02,1.81,1.82,1.82,9800,1
2023-05-25,1684998000,1.818,1.96,1.818,1.92,1.92,5600,-1
2023-05-26,1685084400,1.92,1.93,1.863,1.88,1.88,7000,1
2023-05-30,1685430000,1.84,1.892,1.71,1.89,1.89,23900,-1
2023-05-31,1685516400,1.85,1.89,1.73,1.83,1.83,8000,-1
2023-06-01,1685602800,1.73,1.82,1.73,1.82,1.82,2200,0
2023-06-02,1685689200,1.78,1.89,1.78,1.82,1.82,7800,1
2023-06-05,1685948400,1.805,2.01,1.8,1.86,1.86,18800,0
2023-06-06,1686034800,1.82,1.9,1.762,1.852,1.852,8400,-1
2023-06-07,1686121200,1.83,2.15,1.75,1.83,1.83,106100,1
2023-06-08,1686207600,1.94,1.94,1.885,1.93,1.93,3600,1
2023-06-09,1686294000,2.0,2.04,2.0,2.03,2.03,13100,-1
2023-06-12,1686553200,2.01,2.04,1.91,1.95,1.95,12500,-1
2023-06-13,1686639600,2.01,2.01,1.901,1.92,1.92,11800,-1
2023-06-14,1686726000,1.93,1.93,1.7,1.74,1.74,85200,1
2023-06-15,1686812400,1.75,1.84,1.74,1.79,1.79,10800,0
2023-06-16,1686898800,1.78,1.89,1.71,1.79,1.79,9400,-1
2023-06-20,1687244400,1.83,1.83,1.68,1.68,1.68,12000,-1
2023-06-21,1687330800,1.61,1.7,1.58,1.58,1.58,50100,1
2023-06-22,1687417200,1.617,1.73,1.617,1.73,1.73,9300,1
2023-06-23,1687503600,1.72,1.835,1.7,1.78,1.78,13300,-1
2023-06-26,1687762800,1.8,1.815,1.67,1.77,1.77,4400,0
2023-06-27,1687849200,1.77,1.77,1.7,1.769,1.769,12500,-1
2023-06-28,1687935600,1.748,1.81,1.7,1.75,1.75,15100,1
2023-06-29,1688022000,1.72,1.87,1.72,1.78,1.78,12100,1
2023-06-30,1688108400,1.781,1.83,1.781,1.83,1.83,1000,1
2023-07-03,1688367600,1.82,1.89,1.811,1.89,1.89,6400,-1
2023-07-05,1688540400,1.8,1.91,1.73,1.73,1.73,3600,1
2023-07-06,1688626800,1.781,1.86,1.75,1.86,1.86,4400,-1
2023-07-07,1688713200,1.78,1.85,1.72,1.81,1.81,6600,-1
2023-07-10,1688972400,1.96,1.96,1.72,1.73,1.73,7400,1
2023-07-11,1689058800,1.764,1.93,1.76,1.76,1.76,2900,-1
2023-07-12,1689145200,1.84,1.84,1.52,1.71,1.71,67800,1
2023-07-13,1689231600,1.71,1.835,1.65,1.76,1.76,6300,1
2023-07-14,1689318000,1.75,1.85,1.71,1.77,1.77,11700,-1
2023-07-17,1689577200,1.71,1.745,1.71,1.745,1.745,1700,1
2023-07-18,1689663600,1.815,1.93,1.768,1.82,1.82,22200,-1
2023-07-19,1689750000,1.88,1.88,1.759,1.76,1.76,12100,1
2023-07-20,1689836400,1.75,1.82,1.74,1.8,1.8,24500,-1
2023-07-21,1689922800,1.87,1.87,1.73,1.76,1.76,23800,-1
2023-07-24,1690182000,1.7,1.83,1.7,1.75,1.75,14700,0
2023-07-25,1690268400,1.75,1.83,1.75,1.752,1.752,7500,1
2023-07-26,1690354800,1.76,1.81,1.76,1.81,1.81,2600,0
2023-07-27,1690441200,1.89,1.9,1.77,1.81,1.81,14400,1
2023-07-28,1690527600,1.77,1.839,1.75,1.839,1.839,8100,-1
2023-07-31,1690786800,1.78,1.85,1.71,1.76,1.76,21700,1
2023-08-01,1690873200,1.84,1.86,1.76,1.86,1.86,8600,1
2023-08-02,1690959600,1.835,1.98,1.76,1.9,1.9,32100,-1
2023-08-03,1691046000,1.82,1.93,1.77,1.77,1.77,3400,1
2023-08-04,1691132400,1.76,1.81,1.76,1.79,1.79,11000,-1
2023-08-07,1691391600,1.83,1.87,1.73,1.74,1.74,11600,-1
2023-08-08,1691478000,1.68,1.789,1.68,1.71,1.71,8000,1
2023-08-09,1691564400,1.668,1.87,1.668,1.76,1.76,7900,1
2023-08-10,1691650800,1.75,1.82,1.68,1.82,1.82,9700,1
2023-08-11,1691737200,1.74,1.88,1.7,1.87,1.87,9700,-1
2023-08-14,1691996400,1.79,1.85,1.65,1.85,1.85,12200,0
2023-08-15,1692082800,1.73,1.855,1.71,1.855,1.855,1100,0
2023-08-16,1692169200,1.825,1.85,1.73,1.85,1.85,2100,-1
2023-08-17,1692255600,1.8,1.86,1.77,1.83,1.83,10100,-1
2023-08-18,1692342000,1.711,1.87,1.71,1.798,1.798,1800,0
2023-08-21,1692601200,1.732,1.85,1.732,1.8,1.8,2100,0
2023-08-22,1692687600,1.799,1.799,1.799,1.799,1.799,1000,0
2023-08-23,1692774000,1.803,1.83,1.8,1.806,1.806,1400,-1
2023-08-24,1692860400,1.77,1.85,1.64,1.72,1.72,8100,0
2023-08-25,1692946800,1.724,1.724,1.724,1.724,1.724,800,1
2023-08-28,1693206000,1.78,1.78,1.7,1.75,1.75,2700,1
2023-08-29,1693292400,1.75,1.89,1.63,1.88,1.88,4000,-1
2023-08-30,1693378800,1.82,1.82,1.73,1.73,1.73,1400,0
2023-08-31,1693465200,1.7,1.785,1.7,1.73,1.73,1900,1
2023-09-01,1693551600,1.8,1.84,1.6,1.8,1.8,23400,-1
2023-09-05,1693897200,1.75,1.78,1.75,1.766,1.766,1700,-1
2023-09-06,1693983600,1.67,1.79,1.6,1.73,1.73,5400,-1
2023-09-07,1694070000,1.64,1.73,1.63,1.72,1.72,12600,1
2023-09-08,1694156400,1.73,1.76,1.66,1.76,1.76,13000,-1
2023-09-11,1694415600,1.69,1.8,1.67,1.67,1.67,2600,1
2023-09-12,1694502000,1.8,1.8,1.67,1.7,1.7,2200,-1
2023-09-13,1694588400,1.63,1.79,1.6,1.62,1.62,26800,1
2023-09-14,1694674800,1.67,1.71,1.56,1.7,1.7,13300,-1
2023-09-15,1694761200,1.64,1.759,1.64,1.69,1.69,1800,-1
2023-09-18,1695020400,1.557,1.69,1.557,1.681,1.681,6200,-1
2023-09-19,1695106800,1.68,1.7,1.538,1.62,1.62,11100,-1
2023-09-20,1695193200,1.63,1.63,1.54,1.54,1.54,7800,-1
2023-09-21,1695279600,1.4,1.43,1.02,1.06,1.06,39000,-1
2023-09-22,1695366000,1.1,1.13,1.03,1.03,1.03,24200,-1
2023-09-25,1695625200,1.084,1.118,0.99,0.99,0.99,41500,1
