mlp_dropout,k,cbf_beta,test_loss,cbf_gamma,test_pred_dist,epochs,seq_len,test_f1,batch_size,trial_id,lr,test_loss_avg,num_lstm_layers,lstm_dim,mlp_dim,fine_tune_lr_ratio,fc_dim,test_mcc,test_cum_ret,num_heads,criterion,num_encoders,time_idx,fc_dropout,d_model,pretrained_t2v,ignore_cols,scheduler,symbol,test_acc,optimizer
0.4,64,0.99,1.1364492177963257,1.0,"[0.78, 0.165, 0.055]",140,30,0.3521686907780595,64,30,1.0000000000000002e-06,0.5682246088981628,2,256,2048,0.1,1024,-0.03161345086078591,-0.29000000000000004,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4252232142857143,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.5810185670852661,1.0,"[0.748, 0.197, 0.055]",140,30,0.36630608004811316,128,31,1.0000000000000002e-06,0.5810185670852661,2,256,2048,0.1,1024,-0.00013154155807719586,-0.24,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4251968503937008,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.1825500130653381,1.0,"[0.669, 0.165, 0.165]",140,20,0.44259040331561567,64,32,5e-06,0.5912750065326691,2,256,2048,0.1,1024,0.0559397793409296,0.20999999999999996,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4568452380952381,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.5605535507202148,1.0,"[0.646, 0.15, 0.205]",140,20,0.4855896391329462,128,33,5e-06,0.5605535507202148,2,256,2048,0.1,1024,0.1082737614801896,0.24,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4881889763779528,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.2610191702842712,1.0,"[0.685, 0.087, 0.228]",140,30,0.4303318294363532,64,34,5e-06,0.6305095851421356,2,256,2048,0.1,1024,-0.013311025293363617,0.73,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.44853670634920634,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.5756690502166748,1.0,"[0.748, 0.11, 0.142]",140,30,0.47054335599354424,128,35,5e-06,0.5756690502166748,2,256,2048,0.1,1024,0.10347528345573266,-0.35,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.5039370078740157,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.178376317024231,1.0,"[0.701, 0.087, 0.213]",140,20,0.5045597913980638,64,36,5e-06,0.5891881585121155,2,256,2048,0.1,1024,0.13919864355271774,0.6399999999999999,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.527405753968254,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.5723206996917725,1.0,"[0.622, 0.157, 0.22]",140,20,0.4715449361933206,128,37,5e-06,0.5723206996917725,2,256,2048,0.1,1024,0.08705620918587972,0.3799999999999999,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.47244094488188976,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.2202112078666687,1.0,"[0.52, 0.244, 0.236]",140,30,0.4317937391972345,64,38,5e-06,0.6101056039333344,2,256,2048,0.1,1024,0.05678748186550072,-0.30000000000000004,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.41666666666666663,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.5923781991004944,1.0,"[0.701, 0.165, 0.134]",140,30,0.46384836537789015,128,39,5e-06,0.5923781991004944,2,256,2048,0.1,1024,0.09758110342538626,-0.22999999999999998,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.48031496062992124,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.1874788403511047,1.0,"[0.591, 0.079, 0.331]",140,20,0.4617188808845703,64,40,5e-06,0.5937394201755524,2,256,2048,0.1,1024,0.030525576654306864,0.020000000000000018,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4645337301587301,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.5837125778198242,1.0,"[0.685, 0.142, 0.173]",140,20,0.42588118456576074,128,41,5e-06,0.5837125778198242,2,256,2048,0.1,1024,0.0076672841774625775,0.5900000000000001,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4409448818897638,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.1813764572143555,1.0,"[0.858, 0.087, 0.055]",140,30,0.39999542430077595,64,42,5e-06,0.5906882286071777,2,256,2048,0.1,1024,0.03584301972591416,-0.16000000000000003,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.48821924603174605,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.5804840922355652,1.0,"[0.709, 0.15, 0.142]",140,30,0.45861382711776416,128,43,5e-06,0.5804840922355652,2,256,2048,0.1,1024,0.08615890563490872,0.54,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.48031496062992124,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.2594565153121948,1.0,"[0.583, 0.189, 0.228]",140,20,0.4497763537133616,64,44,5e-06,0.6297282576560974,2,256,2048,0.1,1024,0.0553167991870735,-0.06999999999999995,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4410962301587301,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.5981001853942871,1.0,"[0.606, 0.181, 0.213]",140,20,0.4592489017013087,128,45,5e-06,0.5981001853942871,2,256,2048,0.1,1024,0.07506996261457735,0.3700000000000001,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4566929133858268,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.1741169095039368,1.0,"[0.835, 0.063, 0.102]",140,30,0.4265885368980041,64,46,5e-06,0.5870584547519684,2,256,2048,0.1,1024,0.039710799708750785,-0.19999999999999996,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.49603174603174605,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.5791221261024475,1.0,"[0.717, 0.126, 0.157]",140,30,0.4806979063922742,128,47,5e-06,0.5791221261024475,2,256,2048,0.1,1024,0.1324625882063273,-0.14,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.5118110236220472,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.1608707904815674,1.0,"[0.606, 0.165, 0.228]",140,20,0.4764759105966455,64,48,5e-06,0.5804353952407837,2,256,2048,0.1,1024,0.0939357116532696,0.3799999999999999,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4723462301587301,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.5463883876800537,1.0,"[0.654, 0.126, 0.22]",140,20,0.4731163134809491,128,49,5e-06,0.5463883876800537,2,256,2048,0.1,1024,0.07792694660469804,0.32000000000000006,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.48031496062992124,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.227513313293457,1.0,"[0.449, 0.205, 0.346]",140,30,0.4790991065141248,64,50,5e-06,0.6137566566467285,2,256,2048,0.1,1024,0.09940973354086742,0.5900000000000001,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4489087301587301,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.5608384609222412,1.0,"[0.677, 0.157, 0.165]",140,30,0.4721025753863158,128,51,5e-06,0.5608384609222412,2,256,2048,0.1,1024,0.0948684290720384,-0.17000000000000004,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.48031496062992124,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.1565634608268738,1.0,"[0.606, 0.079, 0.315]",140,20,0.49219182050404225,64,52,5e-06,0.5782817304134369,2,256,2048,0.1,1024,0.08569210730809437,0.5700000000000001,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4959077380952381,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.5492902398109436,1.0,"[0.638, 0.157, 0.205]",140,20,0.5029987015169901,128,53,5e-06,0.5492902398109436,2,256,2048,0.1,1024,0.14307820676434152,0.96,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.5039370078740157,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.1676260828971863,1.0,"[0.685, 0.142, 0.173]",140,30,0.46684943396383877,64,54,5e-06,0.5838130414485931,2,256,2048,0.1,1024,0.0837411193757241,-0.13,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4801587301587301,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.5925372242927551,1.0,"[0.661, 0.197, 0.142]",140,30,0.45576126513597565,128,55,5e-06,0.5925372242927551,2,256,2048,0.1,1024,0.09221673215539407,0.8300000000000001,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4645669291338583,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.1533189415931702,1.0,"[0.646, 0.11, 0.244]",140,20,0.45983893009791876,64,56,5e-06,0.5766594707965851,2,256,2048,0.1,1024,0.03983715010493432,0.76,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4646577380952381,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.5535016655921936,1.0,"[0.74, 0.063, 0.197]",140,20,0.4500664689641068,128,57,5e-06,0.5535016655921936,2,256,2048,0.1,1024,0.02219530136633702,-0.15000000000000002,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.48031496062992124,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.1483034491539001,1.0,"[0.622, 0.189, 0.189]",140,30,0.45689142016792533,64,58,5e-06,0.5741517245769501,2,256,2048,0.1,1024,0.0776426936088933,0.3500000000000001,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.4564732142857143,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.5867103338241577,1.0,"[0.669, 0.197, 0.134]",140,30,0.4930180419576752,128,59,5e-06,0.5867103338241577,2,256,2048,0.1,1024,0.15128055309276023,1.04,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.49606299212598426,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.2058897018432617,1.0,"[0.661, 0.189, 0.15]",140,20,0.41034651718471177,64,60,5e-06,0.6029448509216309,2,256,2048,0.1,1024,0.012863397294826516,-0.29000000000000004,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.42509920634920634,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.5417000651359558,1.0,"[0.709, 0.181, 0.11]",140,20,0.4469949341996586,128,61,5e-06,0.5417000651359558,2,256,2048,0.1,1024,0.0919484385662963,0.8500000000000001,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},atnf,0.47244094488188976,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
